app,name,totalTime,testTime,avgCpu,maxMem
BJS-Bower,testGetSource,31.455,0.002,114.466,278.708
BJS-Bower,testGetTarget,22.344,0.002,123.1,318.308
BJS-Bower,testHasNew,22.62,0.013,120.932,315.122
BJS-Eslint,testRules,64.858,0.002,111.813,957.609
BJS-Eslint,testExecutedOnText,131.909,0.383,61.909,819.397
BJS-Eslint,testIgnorePaths,65.706,0.005,109.034,960.766
BJS-Express,testAppRequest,25.736,0.035,110.746,193.06
BJS-Express,testAppResponse,16.714,0.042,116.273,212.748
BJS-Express,testAppUse,16.479,0.033,120.449,218.338
BJS-Pencilblue,testGetIdWhere,39.762,0.003,109.885,510.054
BJS-Pencilblue,testGetBodyParsers,48.732,0.002,106.99,456.028
BJS-Pencilblue,testGetEmbedUrl,39.608,0.017,108.769,525.854
BJS-Shields,testNodeifySync,47.537,0.001,118.16,662.162
BJS-Shields,testTextMesurer,57.727,0.064,121.549,574.825
BJS-Shields,testLRUCache,46.26,0.0,125.29,660.115
D4J-Chart,testGenerateURL,16.404,0.052,265.998,564.032
D4J-Chart,testCloning,16.426,0.053,266.166,569.639
D4J-Chart,testSerialization,24.633,0.079,235.297,548.636
D4J-Closure,testGetFunctionForAstNode,29.479,0.343,302.734,1062.073
D4J-Closure,testMergeOverflowGraciously,20.841,0.046,334.589,1031.902
D4J-Closure,testRegExp,21.441,0.431,333.046,1081.007
D4J-Lang,test_getEnum,39.055,0.004,137.874,648.226
D4J-Lang,testLang328,48.2,0.031,130.656,646.4
D4J-Lang,testIsAlpha,39.383,0.005,139.807,644.345
D4J-Math,testInterval,59.444,0.034,153.397,951.011
D4J-Math,testCluster,50.044,0.141,151.373,928.505
D4J-Math,testLogGammaNegative,49.922,0.111,156.083,917.46
D4J-Time,testBasicComps1,31.958,0.014,198.817,546.464
D4J-Time,testGetMethods,31.99,0.011,200.068,543.315
D4J-Time,testIsContiguous_RP,42.276,0.006,185.523,548.605
E2E-WebApp-1,checkCreateList,184.61,27.727,129.082,2555.792
E2E-WebApp-2,checkShowProfile,152.933,26.458,66.956,2681.416
E2E-WebApp-2,checkCreateCourse,172.236,34.194,132.954,2792.77
E2E-WebApp-2,checkDownload,170.486,36.126,132.866,2823.667
E2E-WebApp-3,checkShowAdminPage,210.01,85.563,142.915,2398.944
