app,name,time,avgMem,avgCpu,maxMem
Lang,testLang328,0.031, 8.8193359375, 19.90755437307319,8.8193359375
Lang,testLang328,0.002, 8.8193359375, 60.0,8.8193359375
Lang,testLang328,0.002, 11.33984375, 0.0,11.33984375
Lang,testLang328,0.002, 12.599609375, 50.0,12.599609375
Lang,testLang328,0.002, 13.859375, 0.0,13.859375
Lang,testLang328,0.001, 15.1201171875, 50.0,15.1201171875
Lang,testLang328,0.002, 16.3798828125, 100.0,16.3798828125
Lang,testLang328,0.001, 17.6396484375, 0.0,17.6396484375
Lang,testLang328,0.001, 18.8994140625, 0.0,18.8994140625
Lang,testLang328,0.001, 20.16015625, 100.0,20.16015625
