app,name,time,maxMem,maxCpu
Lang,testRemoveAllCharArrayNegativeIndex,0.018,8, 0.16666757430782528
Lang,testRemoveAllCharArrayNegativeIndex,0.004,8, 0.3333333333333333
Lang,testRemoveAllCharArrayNegativeIndex,0.004,10, 0.25
Lang,testRemoveAllCharArrayNegativeIndex,0.003,11, 0.5
Lang,testRemoveAllCharArrayNegativeIndex,0.003,12, 0.6666666666666666
Lang,testRemoveAllCharArrayNegativeIndex,0.002,15, 0.3333333333333333
Lang,testRemoveAllCharArrayNegativeIndex,0.002,16, 1.0
Lang,testRemoveAllCharArrayNegativeIndex,0.003,17, 0.5
Lang,testRemoveAllCharArrayNegativeIndex,0.002,18, 0.3333333333333333
Lang,testRemoveAllCharArrayNegativeIndex,0.002,20, 1.0
